"Selected services annual movements (%)"
,"Mar-24 (%)","Jun-24 (%)","Sep-24 (%)","Dec-24 (%)","Mar-25 (%)"
"Services - total","4.3","4.5","4.6","4.3","3.7"
"Education","5.2","5.6","6.4","6.5","5.7"
"Vet & other pet services","7.1","6.7","5.8","5.3","5.8"
"Restaurant meals","4.4","4.1","2.8","2.7","2.7"
"Hairdressing & personal grooming services","7.1","5.6","6.3","5.6","3.9"
"Rents","7.8","7.3","6.7","6.4","5.5"
"Medical, dental & hospital services","4.5","6.4","5.3","4.2","4.6"
"Insurance","16.4","14.0","14.0","11.0","7.6"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia March Quarter 2025"
